56181,53831,042030
73032,64538,042056
37239,35065,042064
72881,76065,042072
31174,30005,042081
62544,61761,042099
44044,44364,042111
83570,81540,042129
74666,69429,042137
42763,39343,042145
134463,132494,042153
14514,13717,043001
12839,12266,043010
1675,1451,043028
84556,83587,043206
23449,23607,043214
11970,11460,043222
39189,39387,043231
9948,9133,043249
15408,13874,043401
15408,13874,043419
51404,45714,043605
34748,33449,043613
16656,12265,043621
69306,68503,044008
15061,14386,044016
20350,18603,044041
33895,35514,044067
85906,93147,044202
24806,27790,044211
8901,8340,044229
46893,51367,044237
5306,5650,044245
32807,30826,044407
7400,7182,044440
25407,23644,044458
42548,41443,045004
17444,16661,045012
25104,24782,045055
9843,6235,045802
9843,6235,045811
17313,12305,046001
17313,12305,046060
1078608,1017149,050008
318664,312469,052019
58857,54114,052027
98000,91838,052035
78694,73896,052043
32232,28317,052060
50730,46479,052078
34359,31950,052094
84911,79609,052108
34397,33047,052116
88094,82580,052124
36215,33106,052132
27466,25266,052141
29469,27440,052159
6043,5331,053007
6043,5331,053031
2706,2361,053201
2706,2361,053279
30810,27673,053406
3815,3345,053465
18820,17041,053481
8175,7287,053490
25805,23592,053601
10500,9451,053619
6601,6055,053635
5489,4980,053660
3215,3106,053686
21599,20229,054208
21599,20229,054348
19557,17852,054607
16695,15248,054631
2862,2604,054640
1161087,1116752,060003
252177,251876,062014
88664,85372,062022
135728,128954,062031
110712,105566,062049
38495,36585,062057
42007,40986,062065
33653,31423,062073
26612,24501,062081
29267,27513,062090
61792,61757,062103
46205,47544,062111
18857,16860,062120
33465,32106,062138
27069,25650,063002
15100,14333,063011
11969,11317,063029
42954,39914,063207
19773,18834,063215
6220,5598,063223
7794,7063,063231
9167,8419,063240
8089,7295,063401
8089,7295,063410
45113,40732,063606
6313,5782,063614
9761,8836,063622
6132,5606,063631
9115,8102,063649
3720,3393,063657
4823,4291,063665
5249,4722,063673
42093,39437,063801
24857,23747,063819
17236,15690,063827
31943,29214,064009
8839,7840,064017
15217,14110,064025
7887,7264,064033
30767,29290,064203
7698,7700,064262
23069,21590,064289
15425,14177,064602
15425,14177,064611
2012016,1898880,070009
288525,290903,072010
125390,123128,072028
334622,332735,072036
340056,346941,072044
63955,61324,072052
78747,77102,072079
52081,49133,072087
37404,38221,072095
59478,57855,072109
40129,38190,072117
70557,57337,072125
65673,62107,072133
31350,30794,072141
38275,36029,073008
12812,12238,073016
10011,9452,073032
15452,14339,073083
8519,8650,073202
8519,8650,073229
18990,18020,073407
12750,12449,073423
6240,5571,073440
29760,27057,073601
6424,5780,073628
634,613,073644
4907,4462,073679
17795,16202,073687
30013,27921,074004
3167,2818,074021
7347,6557,074055
3754,3571,074071
15745,14975,074080
24651,22933,074209
17296,16210,074217
3355,3196,074225
4000,3527,074233
28562,26041,074403
1914,1660,074446
2457,2183,074454
1495,1318,074462
22696,20880,074471
49682,48675,074608
19520,20038,074616
6736,6423,074641
5135,4985,074659
18291,17229,074667
35107,32821,074802
14990,14220,074811
6329,5934,074829
9813,9097,074837
3975,3570,074845
44577,40815,075001
17710,15814,075019
7203,6718,075027
6827,6407,075035
6865,6548,075043
5972,5328,075051
29263,28638,075205
18133,18235,075213
11130,10403,075221
72294,7293,075400
5375,4302,075418
7665,970,075426
15890,0,075434
2789,2003,075442
11441,0,075451
6901,0,075469
20708,0,075477
1525,18,075485
14356,8217,075604
8189,8176,075612
6167,41,075647
2922821,2862997,080004
263291,266098,082015
191621,183548,082023
141475,138092,082031
141550,138923,082040
78862,75093,082058
51221,50119,082074
79220,76631,082082
43645,42022,082104
62419,58966,082112
56112,52180,082121
30883,29492,082147
46831,44141,082155
78754,76163,082163
108666,105374,082171
80545,82655,082198
207614,213960,082201
155375,154580,082210
65534,67006,082228
30208,28728,082236
61587,63989,082244
44966,42363,082252
54090,54045,082261
106990,102959,082279
55226,52753,082287
46151,42088,082295
42970,41336,082309
45533,42468,082317
91764,92290,082325
36761,34159,082333
48336,46249,082341
44148,48744,082350
51392,50097,082368
73099,68575,083003
34142,32583,083020
17540,16264,083097
21417,19728,083101
37210,37484,083402
37210,37484,083411
19990,17968,083607
19990,17968,083640
74434,71618,084409
17075,15615,084425
47231,46881,084433
10128,9122,084476
22325,21211,085201
22325,21211,085219
34633,32689,085405
9346,8661,085421
25287,24028,085464
17390,16141,085600
17390,16141,085642
1964917,1927885,090000
496873,496618,092011
151849,146451,092029
137574,156531,092037
119136,116968,092045
99824,97119,092053
89186,82808,092061
158307,161450,092088
78877,76711,092096
75228,74163,092100
34900,33046,092118
115137,115059,092134
44523,44651,092142
29029,26867,092151
59117,58876,092169
31429,30757,093009
31429,30757,093017
6503,,093203
6503,,093211
67000,62906,093408
24142,23113,093424
14965,13135,093432
11967,11596,093441
15926,15062,093459
82883,64604,093602
39230,39561,093611
25515,25043,093645
18138,,093670
42653,40660,093807
12490,11435,093840
30163,29225,093866
44889,41640,094005
26535,24759,094072
18354,16881,094111
1964136,1930380,100005
333911,330440,102016
365650,366791,102024
120173,113351,102032
197776,199299,102041
208813,211927,102059
50654,48213,102067
76936,74757,102075
82750,77821,102083
67449,65198,102091
51533,49286,102105
60678,58130,102113
51440,50324,102121
33974,35155,103403
14302,14197,103446
19672,20958,103454
3643,3164,103608
1298,1215,103667
2345,1949,103675
24827,22663,103802
8858,7541,103829
2409,1974,103837
13560,13148,103845
60463,55612,104205
18058,16683,104213
5997,5502,104248
10032,9489,104256
6997,6383,104264
3891,3656,104281
15488,13899,104299
37297,34195,104400
4893,4375,104434
3890,3640,104442
7302,7011,104485
21212,19169,104493
36625,36030,104604
36625,36030,104647
99544,98024,105201
15584,14926,105210
11120,10911,105228
11263,11063,105236
34891,35068,105244
26686,26056,105252
7054944,7111168,110001
1193583,1231350,111007
83129,86176,111015
133745,138725,111023
102464,108530,111031
154230,158121,111040
94328,97087,111058
94407,95142,111066
142235,150147,111074
171209,175409,111082
108178,114423,111091
109658,107590,111104
336044,342390,112011
200024,195907,112020
485787,554619,112038
84612,80945,112062
66453,63070,112071
336956,332308,112089
82709,79756,112097
113921,111116,112101
77419,75966,112119
88597,89358,112127
234298,228702,112143
153660,150072,112151
55311,53652,112160
117807,116729,112178
142461,141357,112186
221273,221569,112194
237677,242138,112216
320566,331637,112224
68260,68268,112232
116408,131241,112241
148481,146798,112259
59942,,112267
123502,132585,112275
68656,70938,112283
78238,79155,112291
156023,159326,112305
74008,73425,112313
152377,150491,112321
68539,66869,112330
80563,83905,112348
104457,104760,112356
128734,133581,112372
62984,61844,112381
99818,99412,112399
53360,51707,112402
69184,69317,112411
56838,55791,112429
64524,68701,112437
104209,109199,112453
,51041,112461
42252,44021,113000
42252,44021,113018
89512,86470,113204
38346,37968,113247
38703,36880,113263
12463,11622,113271
138821,132631,113409
17061,17846,113417
18590,18071,113425
32736,30979,113433
21989,20592,113468
20942,19501,113476
15236,14264,113484
12267,11378,113492
44397,40808,113603
8993,8469,113611
10843,10100,113620
7881,7308,113638
13345,12026,113654
3335,2905,113697
55655,54272,113808
11539,11139,113816
14152,13435,113832
29964,29698,113859
35463,33796,114006
35463,33796,114081
83174,33298,114405
33236,33298,114421
49938,,114456
77407,74877,114600
46588,45084,114642
30819,29793,114651
6023584,6047216,120006
921395,940070,121002
190309,201262,121011
171970,171929,121029
151344,154190,121037
148766,145811,121045
120503,125552,121053
138503,141326,121061
68179,62556,122025
428868,439737,122033
595400,606058,122041
48927,47082,122050
127531,131502,122068
457942,469318,122076
152886,150905,122084
91248,88103,122106
124347,126696,122114
170659,170417,122122
59852,58669,122131
68008,65474,122157
162651,165274,122165
395688,401194,122173
20613,19102,122181
272804,268228,122190
161639,171710,122203
186466,189553,122211
127711,129851,122220
35332,33500,122238
105229,107242,122246
88157,84787,122254
47711,45185,122262
161261,159602,122271
86006,87673,122289
59728,60176,122297
72128,69061,122301
87172,91287,122319
59676,60991,122327
49356,47765,122335
41727,38760,122343
39443,36855,122351
82039,76713,122360
55429,51605,122378
40534,38129,122386
,48574,122394
43211,41500,123200
20819,20503,123226
22392,20997,123293
37145,34555,123404
6388,6091,123421
15713,14441,123471
15044,14023,123498
99327,47017,124001
49537,,124028
17593,16216,124036
7777,7311,124095
24420,23490,124109
62943,59676,124206
11956,11682,124214
7314,7186,124222
14649,14279,124231
12027,11077,124249
7954,7274,124265
9043,8178,124273
18300,17082,124401
10604,9796,124419
7696,7286,124435
8916,7982,124605
8916,7982,124630
12623619,12948463,130001
8500358,8836254,131008
46367,54556,131016
118767,136426,131024
191967,226132,131032
286398,300013,131041
188896,203429,131059
165018,184053,131067
237617,247294,131075
444062,472414,131083
357100,377177,131091
260870,269854,131105
666330,682048,131113
860559,885544,131121
185391,201487,131130
297620,303659,131148
506982,537827,131156
261282,268302,131164
316790,323835,131172
188851,194017,131181
495700,544630,131199
694121,708899,131202
656755,635615,131211
430978,429760,131229
641937,649283,131237
568293,557072,132012
176848,158804,132021
134890,140732,132039
179363,179486,132047
138341,135945,132055
247986,252444,132063
