age,population,status
age-15-19,25,有配偶
age-15-19,2,離別
age-15-19,4466,未婚
age-15-19,0,死別
age-15-19,16,配偶関係「不詳」
age-15-19,4509,総数
age-20-24,2976,未婚
age-20-24,27,配偶関係「不詳」
age-20-24,3361,総数
age-20-24,13,離別
age-20-24,345,有配偶
age-20-24,0,死別
age-25-29,91,離別
age-25-29,13,配偶関係「不詳」
age-25-29,1570,有配偶
age-25-29,2,死別
age-25-29,4292,総数
age-25-29,2616,未婚
age-30-34,178,離別
age-30-34,5,死別
age-30-34,3046,有配偶
age-30-34,1805,未婚
age-30-34,19,配偶関係「不詳」
age-30-34,5053,総数
age-35-39,28,配偶関係「不詳」
age-35-39,14,死別
age-35-39,1518,未婚
age-35-39,4048,有配偶
age-35-39,5921,総数
age-35-39,313,離別
age-40-44,31,死別
age-40-44,533,離別
age-40-44,40,配偶関係「不詳」
age-40-44,1434,未婚
age-40-44,4852,有配偶
age-40-44,6890,総数
age-45-49,6160,総数
age-45-49,1103,未婚
age-45-49,43,死別
age-45-49,31,配偶関係「不詳」
age-45-49,546,離別
age-45-49,4437,有配偶
age-50-54,572,離別
age-50-54,874,未婚
age-50-54,4518,有配偶
age-50-54,102,死別
age-50-54,30,配偶関係「不詳」
age-50-54,6096,総数
age-55-59,4873,有配偶
age-55-59,643,未婚
age-55-59,35,配偶関係「不詳」
age-55-59,6273,総数
age-55-59,183,死別
age-55-59,539,離別
age-60-64,372,死別
age-60-64,592,離別
age-60-64,31,配偶関係「不詳」
age-60-64,6991,総数
age-60-64,503,未婚
age-60-64,5493,有配偶
age-65-69,631,死別
age-65-69,419,未婚
age-65-69,50,配偶関係「不詳」
age-65-69,558,離別
age-65-69,6003,有配偶
age-65-69,7661,総数
age-70-74,31,配偶関係「不詳」
age-70-74,220,未婚
age-70-74,291,離別
age-70-74,5065,有配偶
age-70-74,921,死別
age-70-74,6528,総数
age-75-79,4088,有配偶
age-75-79,48,配偶関係「不詳」
age-75-79,5678,総数
age-75-79,126,未婚
age-75-79,1248,死別
age-75-79,168,離別
age-80-84,65,配偶関係「不詳」
age-80-84,1937,死別
age-80-84,3002,有配偶
age-80-84,106,離別
age-80-84,122,未婚
age-80-84,5232,総数
age-85-89,96,未婚
age-85-89,3939,総数
age-85-89,1617,有配偶
age-85-89,121,配偶関係「不詳」
age-85-89,73,離別
age-85-89,2032,死別
age-90-94,47,未婚
age-90-94,81,配偶関係「不詳」
age-90-94,1821,総数
age-90-94,35,離別
age-90-94,398,有配偶
age-90-94,1260,死別
age-95-99,379,死別
age-95-99,491,総数
age-95-99,40,配偶関係「不詳」
age-95-99,12,未婚
age-95-99,7,離別
age-95-99,53,有配偶
age-over100,2,離別
age-over100,2,未婚
age-over100,6,有配偶
age-over100,12,配偶関係「不詳」
age-over100,75,死別
age-over100,97,総数
age-over15,18982,未婚
age-over15,86993,総数
age-over15,9235,死別
age-over15,53439,有配偶
age-over15,718,配偶関係「不詳」
age-over15,4619,離別
