name,value
0,782
1,826
2,846
3,862
4,846
5,908
6,898
7,933
8,891
9,897
10,937
11,900
12,1003
13,1019
14,1061
15,1023
16,1014
17,1046
18,812
19,614
20,587
21,600
22,660
23,732
24,782
25,769
26,824
27,857
28,930
29,912
30,938
31,1005
32,992
33,1023
34,1095
35,1123
36,1110
37,1191
38,1202
39,1295
40,1346
41,1457
42,1420
43,1313
44,1354
45,1285
46,1308
47,1319
48,1250
49,998
50,1246
51,1251
52,1239
53,1219
54,1141
55,1201
56,1242
57,1245
58,1219
59,1366
60,1334
61,1383
62,1398
63,1364
64,1512
65,1535
66,1778
67,1806
68,1576
69,966
70,1146
71,1400
72,1317
73,1371
74,1294
75,1230
76,1085
77,1107
78,1126
79,1130
80,1061
81,1061
82,1100
83,1055
84,955
85,927
86,944
87,731
88,700
89,637
90,529
91,453
92,354
93,271
94,214
95,183
96,107
97,91
98,72
99,38
